Pickup_date,East_Village,Gramercy,GVillage_N,GVillage_S,Little_Italy,LES,SoHo,Union_Sq
2015-02-22 00:00:00,1322,412,373,803,440,1185,303,488
2015-02-22 06:00:00,272,152,180,72,138,149,113,162
2015-02-22 12:00:00,553,343,355,254,374,312,396,495
2015-02-22 18:00:00,596,319,345,316,359,352,307,507
2015-02-23 00:00:00,185,107,104,83,67,97,72,134
2015-02-23 06:00:00,507,381,298,148,193,222,242,341
2015-02-23 12:00:00,316,281,337,214,323,222,376,668
2015-02-23 18:00:00,680,428,737,498,644,456,568,1342
2015-02-24 00:00:00,157,57,60,81,77,126,52,115
2015-02-24 06:00:00,560,502,420,218,289,265,345,452
2015-02-24 12:00:00,305,311,430,274,386,224,431,847
2015-02-24 18:00:00,683,476,671,602,732,540,607,1412
2015-02-25 00:00:00,183,63,74,104,94,139,89,132
2015-02-25 06:00:00,550,410,310,171,217,209,269,377
2015-02-25 12:00:00,344,265,380,202,384,193,409,787
2015-02-25 18:00:00,683,463,605,505,716,493,578,1297
2015-02-26 00:00:00,200,96,71,119,77,157,101,127
2015-02-26 06:00:00,535,460,331,191,227,243,321,389
2015-02-26 12:00:00,368,354,448,276,445,235,433,931
2015-02-26 18:00:00,880,587,800,626,869,639,686,1702
2015-02-27 00:00:00,275,164,116,202,141,264,113,244
2015-02-27 06:00:00,555,413,306,186,227,235,277,363
2015-02-27 12:00:00,374,330,376,277,412,224,427,835
2015-02-27 18:00:00,1429,806,918,758,971,783,759,1563
2015-02-28 00:00:00,926,326,321,505,320,803,227,447
2015-02-28 06:00:00,284,197,188,114,149,167,122,211
2015-02-28 12:00:00,648,378,381,314,436,391,458,595
2015-02-28 18:00:00,1654,811,838,846,935,921,714,1158
2015-03-01 00:00:00,1167,320,293,602,383,1001,283,445
2015-03-01 06:00:00,266,162,142,76,117,129,103,151
2015-03-01 12:00:00,666,410,455,339,402,362,432,647
2015-03-01 18:00:00,659,344,377,352,373,367,305,485
2015-03-02 00:00:00,136,52,62,58,49,83,46,74
2015-03-02 06:00:00,466,368,242,146,173,164,224,291
2015-03-02 12:00:00,259,228,255,166,300,174,304,498
2015-03-02 18:00:00,416,275,383,362,441,312,349,796
2015-03-03 00:00:00,123,47,52,60,44,78,52,85
2015-03-03 06:00:00,467,378,257,162,195,204,284,315
2015-03-03 12:00:00,319,293,381,248,345,184,350,785
2015-03-03 18:00:00,753,537,805,657,724,476,635,1715
2015-03-04 00:00:00,172,62,73,73,65,113,75,130
2015-03-04 06:00:00,486,421,320,136,245,220,283,393
2015-03-04 12:00:00,276,256,324,204,341,182,334,668
2015-03-04 18:00:00,640,455,618,509,643,516,540,1285
2015-03-05 00:00:00,211,97,77,116,82,172,79,154
2015-03-05 06:00:00,599,489,424,229,291,244,327,497
2015-03-05 12:00:00,337,305,393,227,361,190,349,771
2015-03-05 18:00:00,682,531,692,550,636,540,564,1352
2015-03-06 00:00:00,296,120,107,171,123,284,112,210
2015-03-06 06:00:00,461,405,294,150,196,196,267,339
2015-03-06 12:00:00,324,300,367,232,390,183,337,783
2015-03-06 18:00:00,1186,718,884,699,837,701,653,1499
2015-03-07 00:00:00,962,373,333,445,323,755,228,453
2015-03-07 06:00:00,229,174,145,94,134,138,133,151
2015-03-07 12:00:00,601,387,419,304,442,364,402,533
2015-03-07 18:00:00,1270,691,765,701,707,738,553,995
2015-03-08 00:00:00,1063,325,331,660,312,886,246,438
2015-03-08 06:00:00,205,135,100,75,111,103,109,115
2015-03-08 12:00:00,482,348,297,251,325,285,325,432
2015-03-08 18:00:00,566,295,250,308,317,304,259,361
2015-03-09 00:00:00,158,58,56,70,53,76,55,71
2015-03-09 06:00:00,458,301,242,138,156,170,215,264
2015-03-09 12:00:00,221,232,245,170,237,132,266,466
2015-03-09 18:00:00,372,303,321,284,418,249,335,705
2015-03-10 00:00:00,122,62,61,68,68,81,58,88
2015-03-10 06:00:00,398,318,249,136,201,177,216,281
2015-03-10 12:00:00,289,246,313,210,355,190,334,696
2015-03-10 18:00:00,647,525,750,616,767,482,605,1682
2015-03-11 00:00:00,161,92,82,95,71,112,73,132
2015-03-11 06:00:00,454,331,235,141,199,172,228,273
2015-03-11 12:00:00,243,236,280,188,336,160,299,644
2015-03-11 18:00:00,564,434,457,452,579,433,487,1144
2015-03-12 00:00:00,203,99,73,114,90,145,78,138
2015-03-12 06:00:00,432,377,261,153,195,198,240,297
2015-03-12 12:00:00,337,309,356,234,321,189,327,724
2015-03-12 18:00:00,811,535,686,566,658,514,630,1436
2015-03-13 00:00:00,423,156,145,157,145,264,109,228
2015-03-13 06:00:00,522,353,255,156,184,193,240,297
2015-03-13 12:00:00,387,282,340,238,369,185,342,713
2015-03-13 18:00:00,1150,732,716,565,751,655,636,1198
2015-03-14 00:00:00,813,320,282,379,284,639,200,369
2015-03-14 06:00:00,393,282,262,121,171,190,158,264
2015-03-14 12:00:00,854,560,553,393,556,523,483,729
2015-03-14 18:00:00,1412,818,694,716,730,792,597,1005
2015-03-15 00:00:00,960,278,276,489,275,765,198,331
2015-03-15 06:00:00,223,152,142,93,127,127,109,155
2015-03-15 12:00:00,579,361,330,261,367,367,353,491
2015-03-15 18:00:00,538,280,293,277,344,391,273,390
2015-03-16 00:00:00,145,83,63,55,53,91,33,72
2015-03-16 06:00:00,491,345,234,121,155,215,206,283
2015-03-16 12:00:00,240,225,211,132,275,151,282,459
2015-03-16 18:00:00,424,302,348,261,385,313,373,716
2015-03-17 00:00:00,133,58,68,45,50,60,53,89
